id,name_en,name_ar,slug,lat,lon,parent_id,gov_en,gov_ar
EG3303,Salloum,قسم السلوم,salloum-eg3303,30.646,25.255,EG33,Matrouh,مطروح
EG1610,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,EG16,Gharbia,الغربية
EG3504,Sant Katrin,قسم سانت كاترين,sant-katrin-eg3504,28.66,34.052,EG35,South Sinai,جنوب سيناء
EG1604,Santa,مركز السنطة,santa-eg1604,30.773,31.119,EG16,Gharbia,الغربية
EG2612,Saqulta,مركز ساقلته,saqulta-eg2612,26.692,31.663,EG26,Suhag,سوهاج
EG0107,Sayyida Zainab,قسم السيدة زينب,sayyida-zainab-eg0107,30.03,31.242,EG01,Cairo,القاهرة
EG3106,Shallatin,قسم شلاتين,shallatin-eg3106,23.079,34.574,EG31,Red Sea,البحر الأحمر
EG3505,Sharm el-Sheikh,قسم شرم الشيخ,sharm-el-sheikh-eg3505,28.08,34.203,EG35,South Sinai,جنوب سيناء
EG2119,Shaykh Zayed,قسم الشيخ زايد,shaykh-zayed-eg2119,30.049,30.978,EG21,Giza,الجيزة
EG3408,Shaykh Zuwayd,قسم الشيخ زويد,shaykh-zuwayd-eg3408,30.918,33.971,EG34,North Sinai,شمال سيناء
EG1701,Shibin al-Kum,قسم شبين الكوم,shibin-al-kum-eg1701,30.556,31.0,EG17,Menoufia,المنوفية
EG1702,Shibin al-Kum,مركز شبين الكوم,shibin-al-kum-eg1702,30.561,30.954,EG17,Menoufia,المنوفية
EG1405,Shibin al-Qanatir,مركز شبين القناطر,shibin-al-qanatir-eg1405,30.296,31.307,EG14,Kalyoubia,القليوبية
EG1210,Shirbin,مركز شربين,shirbin-eg1210,31.261,31.576,EG12,Dakahlia,الدقهلية
EG0140,Shroq,قسم الشروق,shroq-eg0140,30.133,31.547,EG01,Cairo,القاهرة
EG0119,Shubra,قسم شبرا,shubra-eg0119,30.072,31.25,EG01,Cairo,القاهرة
EG1406,Shubra Al-Khayma 1,قسم أول شبرا الخيمة,shubra-al-khayma-1-eg1406,30.132,31.248,EG14,Kalyoubia,القليوبية
EG1407,Shubra Al-Khayma 2,قسم ثان شبرا الخيمة,shubra-al-khayma-2-eg1407,30.135,31.285,EG14,Kalyoubia,القليوبية
EG1810,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,EG18,Behera,البحيرة
EG2511,Sidfa,مركز صدفا,sidfa-eg2511,26.943,31.38,EG25,Assiut,أسيوط
EG3305,Sidi Barani,قسم سيدى برانى,sidi-barani-eg3305,30.656,25.886,EG33,Matrouh,مطروح
EG0203,Sidi Gabir,قسم سيدى جابر,sidi-gabir-eg0203,31.216,29.949,EG02,Alexandria,الاسكندرية
EG1507,Sidi Salim,مركز سيدى سالم,sidi-salim-eg1507,31.31,30.738,EG15,Kafr El-Shikh,كفر الشيخ
EG1205,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,EG12,Dakahlia,الدقهلية
EG2305,Sinuras,مركز سنورس,sinuras-eg2305,29.441,30.815,EG23,Fayoum,الفيوم
EG1710,Sirs Al-Layyana City,قسم مدينة سرس الليانة,sirs-al-layyana-city-eg1710,30.445,30.969,EG17,Menoufia,المنوفية
EG3306,Siwa,مركز سيوة,siwa-eg3306,28.703,25.589,EG33,Matrouh,مطروح
EG0401,Suez,قسم السويس,suez-eg0401,29.961,32.569,EG04,Suez,السويس
