id,lat,lon,green_coverage_pct
228,31.154,31.707,1.54
229,30.507,31.369,7.05
230,30.091,31.327,3.31
231,30.006,31.242,4.28
232,30.713,31.276,1.31
233,30.708,31.338,4.23
234,31.233,31.792,1.94
235,31.383,30.47,0.73
236,31.067,32.43,3.81
237,31.184,29.939,13.1
238,31.264,30.03,16.55
239,30.05,31.252,0.43
240,26.085,32.297,33.34
241,29.909,34.024,0.03
242,25.89,32.711,24.39
243,29.187,31.078,17.45
244,24.373,32.932,6.16
245,30.032,31.369,0.09
246,31.129,31.297,0.12
247,30.024,31.55,4.06
248,30.074,31.582,0.1
249,29.978,31.456,0.18
250,28.11,30.788,3.25
251,30.935,29.475,3.11
252,30.861,29.281,0.76
253,30.425,29.897,0.26
254,29.314,34.312,0.15
255,30.115,31.389,1.11
256,22.737,30.412,0.0
257,31.466,31.778,2.36
258,31.254,32.301,0.28
259,31.18,29.876,2.18
260,31.236,32.33,0.39
261,31.17,32.318,0.0
262,29.882,32.619,0.02
263,30.293,31.215,2.41
264,30.18,31.216,3.33
265,30.207,31.214,8.1
266,30.214,31.135,7.73
267,30.742,32.245,27.93
268,30.603,32.55,0.0
269,30.464,34.301,0.0
270,30.043,31.235,2.85
271,25.998,32.827,2.28
272,31.085,30.817,0.24
273,26.165,32.712,9.24
274,26.163,32.578,14.82
275,26.173,32.761,3.73
276,30.611,31.742,4.51
277,25.857,32.789,14.73
278,25.957,33.951,0.0
279,30.971,30.97,0.73
280,30.56,31.163,4.91
281,31.087,34.227,8.81
282,31.51,31.83,0.21
283,28.506,32.377,0.0
284,29.599,33.317,0.02
285,31.379,30.375,34.36
286,31.321,30.92,0.19
287,30.075,31.238,0.07
288,30.957,32.699,2.41
289,30.358,30.661,8.8
290,29.62,31.305,3.09
291,26.732,33.46,0.08
292,27.093,31.349,27.2
293,30.646,25.255,0.0
294,30.95,31.221,0.6
295,28.66,34.052,0.0
296,30.773,31.119,0.82
297,26.692,31.663,6.15
298,30.03,31.242,0.31
299,23.079,34.574,0.0
300,28.08,34.203,0.0
301,30.049,30.978,1.08
302,30.918,33.971,0.69
303,30.556,31.0,4.9
304,30.561,30.954,13.61
305,30.296,31.307,10.78
306,31.261,31.576,0.88
307,30.133,31.547,0.38
308,30.072,31.25,0.09
309,30.132,31.248,0.0
310,30.135,31.285,0.43
311,31.003,30.679,1.31
312,26.943,31.38,13.52
313,30.656,25.886,0.0
314,31.216,29.949,7.32
315,31.31,30.738,0.35
316,30.883,31.513,0.09
317,29.441,30.815,3.68
318,30.445,30.969,5.51
319,28.703,25.589,0.0
320,29.961,32.569,3.42
321,26.547,31.693,5.21
322,26.547,31.655,9.14
323,26.543,31.703,6.95
324,26.485,31.649,0.0
325,28.951,30.866,7.47
326,29.501,34.84,0.0
327,26.785,31.42,13.66
328,30.418,31.933,22.9
329,30.67,30.946,4.86
330,31.109,31.383,0.38
331,26.874,31.422,7.82
332,30.947,31.594,0.54
333,29.467,30.982,0.31
334,30.809,30.932,23.69
335,30.795,31.014,0.46
336,30.786,30.989,0.23
337,25.738,32.703,11.91
338,30.344,31.19,77.06
339,29.939,31.38,0.0
340,22.856,31.661,0.0
341,29.993,31.177,1.71
342,30.43,30.313,3.12
343,30.097,31.189,7.6
344,29.353,30.586,6.0
345,30.056,31.223,12.12
346,30.587,31.581,4.32
347,30.585,31.513,0.48
348,30.601,31.519,4.11
349,31.209,31.649,0.14
350,30.098,31.27,0.23
351,29.972,31.799,0.0
352,30.537,29.721,0.0
353,30.327,31.719,1.19
354,30.24,31.514,19.08
355,30.26,30.306,39.72
356,28.935,29.392,0.0
357,28.723,31.341,0.01
358,29.347,30.344,0.0
359,28.16,31.623,0.0
360,23.594,32.263,0.0
361,25.634,32.716,4.91
362,27.358,31.799,0.0
363,26.727,32.193,0.0
364,25.966,33.191,0.0
365,30.728,31.215,1.31
