,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
111,Bir Al-Abd,North Sinai,,,,,,
112,Birkat Al-Sab,Menoufia,,1.0,,,,
113,Biyalu,Kafr El-Shikh,,,,,,
114,Bulaq,Cairo,85.0,200.0,83.0,10.0,6.0,41.0
115,Bulaq Al-DakrUr,Giza,51.0,93.0,38.0,,,131.0
116,Burg al-Arab,Alexandria,,,,,,
117,Burg Al-Arab City,Alexandria,,,,,,
118,Burullus,Kafr El-Shikh,,,,,,
119,Daba,Matrouh,,,,,,
120,Dahab,South Sinai,,,,,,
121,Damanhur,Behera,37.0,89.0,42.0,4.0,,155.0
122,Damanhur,Behera,,,,,,
123,Dar al-Salam,Suhag,,1.0,,,,2.0
124,Daraw,Aswan,,,,,,
125,Dayrut,Assiut,,,,,,
126,Dikirnis,Dakahlia,,,,,,
127,Dishna,Qena,,,,,,
128,Disuq,Kafr El-Shikh,8.0,28.0,8.0,1.0,1.0,20.0
129,Disuq,Kafr El-Shikh,,,,,,
130,Dumyat,Damietta,,,,,,
131,Dumyat 1,Damietta,18.0,59.0,30.0,1.0,1.0,102.0
132,Dumyat 2,Damietta,20.0,75.0,36.0,,1.0,91.0
133,Dumyat Al-Gadida,Damietta,,2.0,2.0,,,1.0
134,DuqqI,Giza,87.0,203.625,90.0,8.0,,41.0
135,Dyarb Nigm,Sharkia,7.0,13.0,3.0,,,20.0
136,E Mansora 2,Dakahlia,5.0,22.0,11.0,,,27.0
137,El-Ibrahimiya,Sharkia,2.0,8.0,1.0,1.0,,8.0
138,El Arish 1,North Sinai,1.0,2.0,,,,4.0
139,El Arish 2,North Sinai,,,,,,
140,El Arish 3,North Sinai,,,,,,
141,El Arish 4,North Sinai,,,,,,
142,El Mahalla El Kobra,Gharbia,,,1.0,,,2.0
143,El Mahalla El Kobra 1,Gharbia,37.0,90.0,40.0,1.0,2.0,162.0
144,El Mahalla El Kobra 2,Gharbia,31.0,75.0,27.0,1.0,2.0,115.0
145,El Mansora,Dakahlia,,,,,,
146,El Mansora 1,Dakahlia,57.0,122.0,72.0,6.0,,199.0
147,Faqus,Sharkia,12.0,35.0,6.0,,1.0,44.0
148,Faqus,Sharkia,,,,,,
149,Fariskur,Damietta,,,,,,2.0
150,Farshut,Qena,1.0,,2.0,,1.0,
151,Fayid,Ismailia,,,,,1.0,
152,Faysal,Suez,,,,,,
153,Fayyum,Fayoum,29.0,84.0,19.0,2.0,1.0,116.0
154,Fayyum,Fayoum,,,,,,
155,Fayyum City,Fayoum,,,,,,
