,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
116,Burg al-Arab,Alexandria,0,0,0,0,0,0
117,Burg Al-Arab City,Alexandria,0,0,0,0,0,0
118,Burullus,Kafr El-Shikh,0,0,0,0,0,0
119,Daba,Matrouh,0,0,0,0,0,0
120,Dahab,South Sinai,0,0,0,0,0,0
121,Damanhur,Behera,37,89,42,4,0,155
122,Damanhur,Behera,0,0,0,0,0,0
123,Dar al-Salam,Suhag,0,1,0,0,0,2
124,Daraw,Aswan,0,0,0,0,0,0
125,Dayrut,Assiut,0,0,0,0,0,0
126,Dikirnis,Dakahlia,0,0,0,0,0,0
127,Dishna,Qena,0,0,0,0,0,0
128,Disuq,Kafr El-Shikh,8,28,8,1,1,20
129,Disuq,Kafr El-Shikh,0,0,0,0,0,0
130,Dumyat,Damietta,0,0,0,0,0,0
131,Dumyat 1,Damietta,18,59,30,1,1,102
132,Dumyat 2,Damietta,20,75,36,0,1,91
133,Dumyat Al-Gadida,Damietta,0,2,2,0,0,1
134,DuqqI,Giza,90,306,90,8,0,475
135,Dyarb Nigm,Sharkia,7,13,3,0,0,20
136,E Mansora 2,Dakahlia,5,22,11,0,0,27
137,El-Ibrahimiya,Sharkia,2,8,1,1,0,8
138,El Arish 1,North Sinai,1,2,0,0,0,4
139,El Arish 2,North Sinai,0,0,0,0,0,0
140,El Arish 3,North Sinai,0,0,0,0,0,0
141,El Arish 4,North Sinai,0,0,0,0,0,0
142,El Mahalla El Kobra,Gharbia,0,0,1,0,0,2
143,El Mahalla El Kobra 1,Gharbia,37,90,40,1,2,162
144,El Mahalla El Kobra 2,Gharbia,31,75,27,1,2,115
145,El Mansora,Dakahlia,0,0,0,0,0,0
146,El Mansora 1,Dakahlia,57,122,72,6,0,199
147,Faqus,Sharkia,12,35,6,0,1,44
148,Faqus,Sharkia,0,0,0,0,0,0
149,Fariskur,Damietta,0,0,0,0,0,2
150,Farshut,Qena,1,0,2,0,1,0
151,Fayid,Ismailia,0,0,0,0,1,0
152,Faysal,Suez,0,0,0,0,0,0
153,Fayyum,Fayoum,29,84,19,2,1,116
154,Fayyum,Fayoum,0,0,0,0,0,0
155,Fayyum City,Fayoum,0,0,0,0,0,0
156,Fuwwa,Kafr El-Shikh,0,0,0,0,0,0
157,Gamaliyya,Cairo,46,86,61,6,3,191
158,Gamaliyya,Dakahlia,0,0,0,0,0,0
159,Gamsa,Dakahlia,0,5,6,0,0,38
160,Girga,Suhag,13,18,12,0,1,11
161,Girga,Suhag,1,0,0,0,0,0
162,Giza,Giza,64,119,59,0,4,131
163,Giza,Giza,2,1,0,0,0,3
164,Guhayna Al-Gharbiyya,Suhag,1,0,1,0,0,0
165,Hadaiq Al-Qubba,Cairo,66,136,51,1,2,154
166,Halayib,Red Sea,0,0,0,0,0,0
