name_en,name_ar,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,green_coverage_pct,gov_en,gov_ar
Nebro,مركز نبروة,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,0.58,Dakahlia,الدقهلية
Al Dikhila,قسم الدخيلة,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,0.17,Alexandria,الاسكندرية
Kafr Al-Shaykh,قسم كفر الشيخ,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,0.17,Kafr El-Shikh,كفر الشيخ
Kafr Al-Shaykh,مركز كفر الشيخ,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.03,Kafr El-Shikh,كفر الشيخ
Kafr Al-Zayyat,مركز كفر الزيات,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,1.87,Gharbia,الغربية
Kafr Sad,مركز كفر سعد,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.69,Damietta,دمياط
Kafr Saqr,مركز كفر صقر,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,1.76,Sharkia,الشرقية
Kafr Shukr,مركز كفر شكر,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,57.43,Kalyoubia,القليوبية
Kardasa,مركز كرداسة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.04,Giza,الجيزة
Karmuz,قسم كرموز,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,2.01,Alexandria,الاسكندرية
Kawther,قسم الكوثر,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,8.96,Suhag,سوهاج
Kesm Al-minya,قسم المنيا,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187,0.68,Menia,المنيا
Kesm Awal Assuit,قسم أول أسيوط,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037,14.69,Assiut,أسيوط
Kesm Mallawi,قسم ملوى,605.872,103.235435,499.75162,182.83142,499.27554,3.5344,3.51,Menia,المنيا
Kesm Tahta,قسم طهطا,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232,1.57,Suhag,سوهاج
Kesm than Al Raml,قسم ثان الرمل,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,3.84,Alexandria,الاسكندرية
Kesm Than Assuit,قسم ثان أسيوط,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037,3.95,Assiut,أسيوط
Khsos,قسم الخصوص,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.14,Kalyoubia,القليوبية
Kum Hamada,مركز كوم حمادة,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,2.5,Behera,البحيرة
Kum Umbu,مركز كوم امبو,272.8743,58.022552,170.16608,139.43076,169.02698,0.76893926,4.43,Aswan,أسوان
Luxor,قسم الأقصر,247.03673,56.871864,152.15875,141.0796,148.57976,1.6929317,16.47,Luxor,مدينة الأقصر
Luxor,مركز الأقصر,318.87134,67.604164,208.32689,151.16095,207.45984,1.6301191,11.86,Luxor,مدينة الأقصر
Maadi,قسم المعادي,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.18,Cairo,القاهرة
Madinat Nasr-2,قسم ثانمدينةنصر,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,2.05,Cairo,القاهرة
El Arish 2,قسم ثان العريش,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.59,North Sinai,شمال سيناء
Mahalet Demna,مركز محلة دمنة,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.59,Dakahlia,الدقهلية
Manfalut,مركز منفلوط,399.49194,76.06928,294.29855,156.98792,293.42804,2.1944366,5.35,Assiut,أسيوط
Manzala,مركز المنزلة,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994,4.29,Dakahlia,الدقهلية
Marg,قسم المرج,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.0,Cairo,القاهرة
Markz Abu Qurqas,مركز ابو قرقاص,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187,0.48,Menia,المنيا
Markz Al Idwa,مركز العدوة,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055,2.1,Menia,المنيا
Markz Al Minya,مركز المنيا,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187,6.11,Menia,المنيا
Markz Bani Mazar,مركز بنى مزار,564.2742,88.29476,453.37756,171.02182,453.24738,3.8837934,4.64,Menia,المنيا
Markz Dir Mawas,مركز دير مواس,605.872,103.235435,499.75162,182.83142,499.27554,3.5344,16.74,Menia,المنيا
Markz Maghagha,مركز مغاغة,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055,5.58,Menia,المنيا
Markz Mallawi,مركز ملوى,605.872,103.235435,499.75162,182.83142,499.27554,3.5344,7.63,Menia,المنيا
Markz Matay,مركز مطاى,564.2742,88.29476,453.37756,171.02182,453.24738,3.8837934,4.84,Menia,المنيا
Markz Samalut,مركز سمالوط,564.2742,88.29476,453.37756,171.02182,453.24738,3.8837934,1.13,Menia,المنيا
Marsa Alam,قسم مرسى علم,95.14635,24.495146,81.888664,80.17981,68.77279,0.24261807,0.0,Red Sea,البحر الأحمر
Marsa Matruh,قسم مرسى مطروح,410.3528,64.37272,304.96805,145.63495,304.76016,0.12577295,0.0,Matrouh,مطروح
Mashtul Al-Suq,مركز مشتول السوق,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,2.47,Sharkia,الشرقية
A L Labban,قسم اللبان,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994,1.84,Alexandria,الاسكندرية
Matariyya,مركز المطرية,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994,1.84,Dakahlia,الدقهلية
Mina Al-Basal,قسم مينا البصل,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,3.03,Alexandria,الاسكندرية
Minshat Nasir,منشأةناصر,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.7,Cairo,القاهرة
Qasr Al-Nile,قسم قصر النيل,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.7,Cairo,القاهرة
Minuf,مركز منوف,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482,14.31,Menoufia,المنوفية
Minuf City,قسم مدينة منوف,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482,1.64,Menoufia,المنوفية
Minya Al-Nasr,مركز منية النصر,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,1.54,Dakahlia,الدقهلية
Minya al-Qamh,مركز منيا القمح,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,7.05,Sharkia,الشرقية
Misr al-Gadida,قسم مصرالجديدة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,3.31,Cairo,القاهرة
Misr Al-Qadima,مصرالقديمة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,4.28,Cairo,القاهرة
Mit Ghamr,قسم ميت غمر,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,1.31,Dakahlia,الدقهلية
Mit Ghamr,مركز ميت غمر,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,4.23,Dakahlia,الدقهلية
MIt Salsil,مركز ميت سلسيل,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,1.94,Dakahlia,الدقهلية
Mitubas,مركز مطوبس,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,0.73,Kafr El-Shikh,كفر الشيخ
Mubark-Sharq Tafrea,قسم مبارك - شرق التفريعة,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451,3.81,Port Said,بورسعيد
Muharam Bik,قسم محرم بك,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,13.1,Alexandria,الاسكندرية
Muntazah,قسم المنتزة,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,16.55,Alexandria,الاسكندرية
Muski,قسم الموسكي,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.43,Cairo,القاهرة
Nag Hammadi,مركز نجع حمادى,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075,33.34,Qena,قنا
Nakhl,قسم نخل,76.24081,17.464132,68.388985,65.98199,59.718052,0.10567468,0.03,North Sinai,شمال سيناء
Naqada,مركز نقادة,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164,24.39,Qena,قنا
Nasir,مركز ناصر,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264,17.45,Beni Suef,بنى سويف
Nasr,مركز نصر,272.8743,58.022552,170.16608,139.43076,169.02698,0.76893926,6.16,Aswan,أسوان
Nasr City,قسم أول مدينة نصر,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.09,Cairo,القاهرة
Kafr Al-Dawwar,مركز كفر الدوار,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.12,Behera,البحيرة
Nebro,مركز نبروة,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.12,Dakahlia,الدقهلية
New Cairo-1,قسم أول القاهرة الجديدة,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388,4.06,Cairo,القاهرة
New Cairo-2,قسم ثان القاهرة الجديدة,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388,0.1,Cairo,القاهرة
New Cairo-3,قسم ثالث القاهرة الجديدة,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388,0.18,Cairo,القاهرة
New Minya,مدينة المنيا الجديدة,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187,3.25,Menia,المنيا
North Coast,الساحل الشمالى,245.60846,44.006573,157.85709,117.496284,157.33507,1.326487,3.11,Alexandria,الاسكندرية
North Coast,قسم الساحل الشمالى-جزء,490.46683,71.756615,378.49576,155.72229,378.49298,0.18302135,0.76,Matrouh,مطروح
Nubariyya West,قسم غرب النوبارية,225.84375,43.38475,141.97768,117.7082,140.59615,1.7731133,0.26,Behera,البحيرة
Fayyum,قسم الفيوم,38.12371,12.12397,59.504482,54.84827,34.385704,0.19742864,0.15,Fayoum,الفيوم
Nuweiba,قسم نويبع,38.12371,12.12397,59.504482,54.84827,34.385704,0.19742864,0.15,South Sinai,جنوب سيناء
Nuzha,قسم النزهة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.11,Cairo,القاهرة
Paris Paris,مركز باريس,185.75154,38.601547,121.19338,105.43391,119.05326,0.10169733,0.0,New Valley,الوادى الجديد
Police Department Port of Damietta,إداره شرطه ميناء دمياط الجديد,24.353693,16.797165,68.61822,64.73077,22.15648,2.5677993,2.36,Damietta,دمياط
Police Department Port Said Port,إدارة شرطة ميناء بورسعيد,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451,0.28,Port Said,بورسعيد
Port Alexandria Police Department,اداره شرطه ميناء الأسكندريه,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,2.18,Alexandria,الاسكندرية
Port Fuad,قسم بور فؤاد,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451,0.39,Port Said,بورسعيد
Port Fuad 2,قسم ثان بور فؤاد,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451,0.0,Port Said,بورسعيد
Port Suez Police Department,إدارة شرطة ميناء السويس,32.402275,14.567225,68.79846,60.376423,29.426445,2.588575,0.02,Suez,السويس
Qaha,قسم قها,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,2.41,Kalyoubia,القليوبية
Qalyub,قسم قليوب,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,3.33,Kalyoubia,القليوبية
Qalyub,مركز قليوب,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,8.1,Kalyoubia,القليوبية
Qanatir Al-Khayriyya,مركز القناطر الخيرية,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,7.73,Kalyoubia,القليوبية
"Qantara Gharb, al-",مركز القنطرة,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894,27.93,Ismailia,الإسماعيلية
"Qantara Sharq, al-",قسم القنطرة شرق,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894,0.0,Ismailia,الإسماعيلية
Qasima,قسم القسيمة,65.337585,15.60945,64.603615,62.437572,54.15065,0.36214998,0.0,North Sinai,شمال سيناء
Minshat Nasir,منشأةناصر,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,2.85,Cairo,القاهرة
Qasr Al-Nile,قسم قصر النيل,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,2.85,Cairo,القاهرة
Qift,مركز قفط,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164,2.28,Qena,قنا
Qillin,مركز قلين,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,0.24,Kafr El-Shikh,كفر الشيخ
Qina,قسم قنا,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164,9.24,Qena,قنا
Qina,مركز قنا,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075,14.82,Qena,قنا
Qina City,مدينة قنا الجديدة,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164,3.73,Qena,قنا
Qurin,قسم القرين,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,4.51,Sharkia,الشرقية
Qus,مركز قوص,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164,14.73,Qena,قنا
Qusir,قسم القصير,57.260914,17.414734,71.93506,65.199715,45.18782,0.45261344,0.0,Red Sea,البحر الأحمر
El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,0.73,Gharbia,الغربية
Qutur,مركز قطور,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,0.73,Gharbia,الغربية
Quwisna,مركز قويسنا,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,4.91,Menoufia,المنوفية
Rafah,قسم رفح,53.054554,17.593857,66.67092,66.17153,46.986423,1.8623072,8.81,North Sinai,شمال سيناء
Ras al-Bar,قسم رأس البر,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038,0.21,Damietta,دمياط
Ras Gharib,قسم رأس غارب,57.492443,18.017738,75.10589,66.86006,46.013687,0.8067029,0.0,Red Sea,البحر الأحمر
Ras Sidr,قسم رأس سدر,63.622852,16.476805,68.98687,64.16175,52.60674,0.26775151,0.02,South Sinai,جنوب سيناء
Rashid,مركز رشيد,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,34.36,Behera,البحيرة
Riyad,مركز الرياض,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,0.19,Kafr El-Shikh,كفر الشيخ
Rud Al-Farag,قسم روضالفرج,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.07,Cairo,القاهرة
Rummana,قسم رمانة,20.57672,13.992011,65.7748,59.316036,18.707682,1.0893906,2.41,North Sinai,شمال سيناء
Sadat City,مركز السادات,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482,8.8,Menoufia,المنوفية
Saf,مركز الصف,97.85958,22.6753,87.67268,75.88198,71.214165,5.34003,3.09,Giza,الجيزة
Safaga,قسم سفاجا,42.01134,13.9888315,69.0819,57.764885,35.395466,0.3989404,0.08,Red Sea,البحر الأحمر
Sahil Silim,مركز ساحل سليم,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037,27.2,Assiut,أسيوط
Salloum,قسم السلوم,49.947556,15.430929,62.2938,62.03347,43.444775,0.15661855,0.0,Matrouh,مطروح
Samannud,مركز سمنود,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,0.6,Gharbia,الغربية
Sant Katrin,قسم سانت كاترين,34.997982,11.255928,59.28452,52.10097,31.472868,0.20125791,0.0,South Sinai,جنوب سيناء
Abu-l-Matamir,مركز ابوالمطامير,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,0.82,Behera,البحيرة
Santa,مركز السنطة,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,0.82,Gharbia,الغربية
Saqulta,مركز ساقلته,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232,6.15,Suhag,سوهاج
Bulaq Al-DakrUr,قسم بولاق الدكرور,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.31,Giza,الجيزة
Sayyida Zainab,قسم السيدة زينب,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.31,Cairo,القاهرة
Shallatin,قسم شلاتين,125.471085,31.816366,95.56521,95.169754,85.13072,0.12545563,0.0,Red Sea,البحر الأحمر
Sharm el-Sheikh,قسم شرم الشيخ,31.92066,13.05292,63.529545,57.092167,28.994879,2.1796484,0.0,South Sinai,جنوب سيناء
Shaykh Zayed,قسم الشيخ زايد,54.69841,20.782001,78.13099,72.36231,44.380844,3.5449357,1.08,Giza,الجيزة
Shaykh Zuwayd,قسم الشيخ زويد,33.91413,14.231443,60.918518,59.741127,30.84471,0.4415065,0.69,North Sinai,شمال سيناء
Shibin al-Kum,قسم شبين الكوم,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,4.9,Menoufia,المنوفية
Shibin al-Kum,مركز شبين الكوم,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482,13.61,Menoufia,المنوفية
Shibin al-Qanatir,مركز شبين القناطر,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,10.78,Kalyoubia,القليوبية
Shirbin,مركز شربين,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.88,Dakahlia,الدقهلية
Shroq,قسم الشروق,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388,0.38,Cairo,القاهرة
Al Wayli,قسم الوايلي,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.09,Cairo,القاهرة
Shubra,قسم شبرا,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.09,Cairo,القاهرة
Auseem,مركز أوسيم,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.0,Giza,الجيزة
Shubra Al-Khayma 1,قسم أول شبرا الخيمة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.0,Kalyoubia,القليوبية
Shubra Al-Khayma 2,قسم ثان شبرا الخيمة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.43,Kalyoubia,القليوبية
Shubra Khit,مركز شبراخيت,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,1.31,Behera,البحيرة
Sidfa,مركز صدفا,438.00305,80.90632,332.24445,162.52174,331.66122,2.5022366,13.52,Assiut,أسيوط
Sidi Barani,قسم سيدى برانى,60.756054,16.209707,64.95789,63.67907,50.007305,0.13802235,0.0,Matrouh,مطروح
Sidi Gabir,قسم سيدى جابر,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,7.32,Alexandria,الاسكندرية
Fariskur,مركز فارسكور,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,0.35,Damietta,دمياط
Sidi Salim,مركز سيدى سالم,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,0.35,Kafr El-Shikh,كفر الشيخ
Sinbillawin,مركز السنبلاوين,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,0.09,Dakahlia,الدقهلية
Sinuras,مركز سنورس,100.53007,23.594416,82.612236,77.79302,72.504234,2.0980706,3.68,Fayoum,الفيوم
Sirs Al-Layyana City,قسم مدينة سرس الليانة,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482,5.51,Menoufia,المنوفية
Siwa,مركز سيوة,121.90747,32.330456,95.42297,95.33359,83.46921,0.15179496,0.0,Matrouh,مطروح
Suez,قسم السويس,26.260695,14.773797,72.89991,60.800823,23.909971,3.287064,3.42,Suez,السويس
Suhag,قسم اول سوهاج,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,5.21,Suhag,سوهاج
Suhag,مركز سوهاج,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,5.21,Suhag,سوهاج
Suhag,قسم اول سوهاج,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,9.14,Suhag,سوهاج
Suhag,مركز سوهاج,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,9.14,Suhag,سوهاج
Suhag-2,قسم ثان سوهاج,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,6.95,Suhag,سوهاج
Suhag City,مدينة سوهاج الجديدة,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,0.0,Suhag,سوهاج
Biba,مركز ببا,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055,7.47,Beni Suef,بنى سويف
Sumusta,مركز سمسطا,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055,7.47,Beni Suef,بنى سويف
Taba,قسم طابا,50.011726,15.09738,65.020645,61.4482,44.1606,0.70475173,0.0,South Sinai,جنوب سيناء
Tahta,مركز طهطا,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232,13.66,Suhag,سوهاج
"Tal al-Kabir, al-",مركز التل الكبير,24.107218,14.658548,72.81264,60.678448,21.947304,4.001569,22.9,Ismailia,الإسماعيلية
Tala,مركز تلا,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,4.86,Menoufia,المنوفية
Talkha,مركز طلخا,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.38,Dakahlia,الدقهلية
Tama,مركز طما,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232,7.82,Suhag,سوهاج
Tamy Al-Amdid,مركز تمى الأمديد,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,0.54,Dakahlia,الدقهلية
Tamya,مركز طامية,100.53007,23.594416,82.612236,77.79302,72.504234,2.0980706,0.31,Fayoum,الفيوم
Tanta,مركز طنطا,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,23.69,Gharbia,الغربية
Tanta 1,قسم أول طنطا,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,0.46,Gharbia,الغربية
Tanta 2,قسم ثان طنطا,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,0.23,Gharbia,الغربية
Tiba police station,مركز شرطة طيبة,247.03673,56.871864,152.15875,141.0796,148.57976,1.6929317,11.91,Luxor,مدينة الأقصر
Tukh,مركز طوخ,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,77.06,Kalyoubia,القليوبية
Tura,قسم طره,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.0,Cairo,القاهرة
Tushaka,مدينة توشكى الجديدة,179.08153,38.80958,115.09034,107.49878,112.48064,0.3121581,0.0,Aswan,أسوان
Umraniyya,قسم العمرانية,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.71,Giza,الجيزة
Wadi Al-NatrUn,مركز وادى النطرون,97.04867,27.125,88.53744,84.8045,70.06831,2.938856,3.12,Behera,البحيرة
Waraq,قسم الوراق,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,7.6,Giza,الجيزة
Yousef El sadeq,مركز يوسف الصديق,156.91663,33.639946,106.19734,98.15662,101.08748,1.2986878,6.0,Fayoum,الفيوم
Zamalik,قسم الزمالك,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,12.12,Cairo,القاهرة
Zaqaziq,مركز الزقازيق,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,4.32,Sharkia,الشرقية
Zaqaziq 1,قسم اول الزقازيق,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,0.48,Sharkia,الشرقية
Al-Shuhada,مركز الشهداء,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,4.11,Menoufia,المنوفية
Zaqaziq 2,قسم ثان الزقازيق,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,4.11,Sharkia,الشرقية
Zarqa,مركز الزرقا,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.14,Damietta,دمياط
Zawiyya Al-Hamra,قسم الزاويةالحمراء,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.23,Cairo,القاهرة
Zemam Out,خارج الزمام,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388,0.0,Cairo,القاهرة
Zemam Out,خارج الزمام,217.6981,42.06396,140.35954,113.89108,138.90002,0.73549145,0.0,Alexandria,الاسكندرية
Zemam Out,خارج الزمام,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,1.19,Sharkia,الشرقية
Zemam Out,خارج الزمام,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,19.08,Kalyoubia,القليوبية
Zemam Out,خارج الزمام,97.04867,27.125,88.53744,84.8045,70.06831,2.938856,39.72,Behera,البحيرة
Zemam Out,خارج الزمام,248.21628,44.424572,166.14871,117.816284,163.58446,0.35652244,0.0,Giza,الجيزة
Zemam Out,خارج الزمام,558.48065,61.379852,448.3376,144.24052,448.25964,3.3978798,0.01,Beni Suef,بنى سويف
Zemam Out,خارج الزمام,156.91663,33.639946,106.19734,98.15662,101.08748,1.2986878,0.0,Fayoum,الفيوم
Zemam Out,خارج الزمام,348.7253,59.350475,249.6468,138.72696,248.37798,0.9760998,0.0,Menia,المنيا
Zemam Out,خارج الزمام,215.90253,44.97427,135.15587,119.262024,133.4247,0.29345614,0.0,Aswan,أسوان
Zemam Out,خارج الزمام,247.03673,56.871864,152.15875,141.0796,148.57976,1.6929317,4.91,Luxor,مدينة الأقصر
Zemam Out,صحراء أسيوط,363.51694,67.62754,260.16617,148.50133,259.4063,1.6157753,0.0,Assiut,أسيوط
Zemam Out,صحراء سوهاج,429.72702,76.5774,321.0706,159.8434,321.0205,1.1400805,0.0,Suhag,سوهاج
Zemam Out,صحراء قنا,131.59729,32.567398,98.23886,96.69565,88.139984,0.63199586,0.0,Qena,قنا
Zifta,مركز زفتى,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,1.31,Gharbia,الغربية
