name_en,name_ar,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,green_coverage_pct,gov_en,gov_ar
Al-Manasra,قسم المناصرة,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994,0.11,Port Said,بورسعيد
Al Raml,قسم أول الرمل,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994,0.11,Alexandria,الاسكندرية
Al-Maragha,مركز المراغة,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232,5.63,Suhag,سوهاج
Al-Minshat,مركز المنشأة,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338,6.42,Suhag,سوهاج
Al-Munakh,قسم المناخ,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451,0.14,Port Said,بورسعيد
Al-Qanayat,قسم القنايات,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,1.8,Sharkia,الشرقية
Al-Qusia,مركز القوصية,605.872,103.235435,499.75162,182.83142,499.27554,3.5344,2.63,Assiut,أسيوط
Abu Hummus,مركز ابوحمص,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,1.73,Behera,البحيرة
Al-Rahmaniyya,مركز الرحمانية,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,1.73,Behera,البحيرة
Al-Salhiyya,قسم الصالحية الجديدة,21.777964,15.548711,73.005104,62.348927,19.803314,5.4383,2.7,Sharkia,الشرقية
Al-Sharq,قسم الشرق,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451,0.63,Port Said,بورسعيد
Al-Shuhada,مركز الشهداء,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,10.38,Menoufia,المنوفية
Zaqaziq 2,قسم ثان الزقازيق,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,10.38,Sharkia,الشرقية
Al-Tur,قسم الطور,35.657948,13.573969,63.842575,58.345844,32.15527,1.24383,0.04,South Sinai,جنوب سيناء
Al-Zohour,قسم الزهور,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451,0.35,Port Said,بورسعيد
Al Amreia,قسم العامرية,327.32797,51.01173,212.0305,133.17226,211.94904,3.7362924,10.12,Alexandria,الاسكندرية
Basyun,مركز بسيون,327.32797,51.01173,212.0305,133.17226,211.94904,3.7362924,10.12,Gharbia,الغربية
Al Attarin,قسم العطارين,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,2.34,Alexandria,الاسكندرية
Al Manshiyya,قسم المنشية,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,2.34,Alexandria,الاسكندرية
Al Azbakiyya,قسم الأزبكية,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.29,Cairo,القاهرة
Al Darb al-Ahmar,قسم الدرب الأحمر,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,6.49,Cairo,القاهرة
