district_id,district_en,district_ar,governorate_en,governorate_ar,district_lat,district_lon
al-mahmudiyya-eg1806,Al-Mahmudiyya,مركز المحمودية,Behera,البحيرة,31.197,30.488
luxor-eg2901,Luxor,قسم الأقصر,Luxor,مدينة الأقصر,25.707,32.67
qasima-eg3411,Qasima,قسم القسيمة,North Sinai,شمال سيناء,30.464,34.301
al-raml-eg0202,Al Raml,قسم أول الرمل,Alexandria,الاسكندرية,31.237,29.986
al-waqf-eg2712,Al Waqf,مركز الوقف,Qena,قنا,26.084,32.448
karmuz-eg0208,Karmuz,قسم كرموز,Alexandria,الاسكندرية,31.179,29.904
suhag-2-eg2602,Suhag-2,قسم ثان سوهاج,Suhag,سوهاج,26.543,31.703
gamaliyya-eg1215,Gamaliyya,مركز الجمالية,Dakahlia,الدقهلية,31.205,31.852
marg-eg0136,Marg,قسم المرج,Cairo,القاهرة,30.156,31.346
hilwan-eg0102,Hilwan,قسم حلوان,Cairo,القاهرة,29.854,31.329
paris-paris-eg3204,Paris Paris,مركز باريس,New Valley,الوادى الجديد,22.737,30.412
al-manasra-eg0310,Al-Manasra,قسم المناصرة,Port Said,بورسعيد,31.237,32.173
al-manshiyya-eg0207,Al Manshiyya,قسم المنشية,Alexandria,الاسكندرية,31.198,29.892
giza-eg2104,Giza,قسم الجيزة,Giza,الجيزة,29.999,31.216
imbaba-eg2101,Imbaba,قسم امبابه,Giza,الجيزة,30.083,31.21
mahalet-demna-eg1219,Mahalet Demna,مركز محلة دمنة,Dakahlia,الدقهلية,31.09,31.513
nuzha-eg0129,Nuzha,قسم النزهة,Cairo,القاهرة,30.115,31.389
safaga-eg3103,Safaga,قسم سفاجا,Red Sea,البحر الأحمر,26.732,33.46
aswan-eg2801,Aswan,قسم أسوان,Aswan,أسوان,24.063,32.901
waraq-eg2117,Waraq,قسم الوراق,Giza,الجيزة,30.097,31.189
shubra-al-khayma-2-eg1407,Shubra Al-Khayma 2,قسم ثان شبرا الخيمة,Kalyoubia,القليوبية,30.135,31.285
port-fuad-eg0304,Port Fuad,قسم بور فؤاد,Port Said,بورسعيد,31.236,32.33
shubra-al-khayma-1-eg1406,Shubra Al-Khayma 1,قسم أول شبرا الخيمة,Kalyoubia,القليوبية,30.132,31.248
port-fuad-2-eg0308,Port Fuad 2,قسم ثان بور فؤاد,Port Said,بورسعيد,31.17,32.318
e-mansora-2-eg1202,E Mansora 2,قسم ثان المنصورة,Dakahlia,الدقهلية,31.047,31.419
10-ramadan-1-eg1309,10 Ramadan 1,قسم اول مدينة العاشر من رمضان,Sharkia,الشرقية,30.222,31.732
10-ramadan-2-eg1321,10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,Sharkia,الشرقية,30.238,31.7
shibin-al-kum-eg1701,Shibin al-Kum,قسم شبين الكوم,Menoufia,المنوفية,30.556,31.0
halayib-eg3107,Halayib,قسم حلايب,Red Sea,البحر الأحمر,22.386,36.0
ismailiyya-3-eg1903,Ismailiyya 3,قسم ثالث الاسماعيلية,Ismailia,الإسماعيلية,30.612,32.291
kawther-eg2616,Kawther,قسم الكوثر,Suhag,سوهاج,26.555,31.722
fayyum-eg2301,Fayyum,قسم الفيوم,Fayoum,الفيوم,29.314,30.839
kesm-tahta-eg2615,Kesm Tahta,قسم طهطا,Suhag,سوهاج,26.767,31.492
damanhur-eg1801,Damanhur,قسم دمنهور,Behera,البحيرة,31.049,30.463
el-mansora-1-eg1201,El Mansora 1,قسم اول المنصورة,Dakahlia,الدقهلية,31.029,31.375
bab-sharqi-eg0204,Bab Sharqi,قسم باب شرقى,Alexandria,الاسكندرية,31.205,29.921
kesm-awal-assuit-eg2501,Kesm Awal Assuit,قسم أول أسيوط,Assiut,أسيوط,27.186,31.154
kesm-than-assuit-eg2502,Kesm Than Assuit,قسم ثان أسيوط,Assiut,أسيوط,27.193,31.179
badr-eg0141,Badr,قسم بدر,Cairo,القاهرة,30.136,31.706
shroq-eg0140,Shroq,قسم الشروق,Cairo,القاهرة,30.133,31.547
al-ganayin-eg0405,Al-Ganayin,قسم الجناين,Suez,السويس,30.063,32.703
dumyat-1-eg1101,Dumyat 1,قسم أول دمياط,Damietta,دمياط,31.407,31.807
dumyat-2-eg1109,Dumyat 2,قسم ثان دمياط,Damietta,دمياط,31.425,31.819
al-ahram-eg2106,Al-Ahram,قسم الأهرام,Giza,الجيزة,29.99,31.136
al-ganoub-2-eg0311,Al-Ganoub 2,قسم ثان الجنوب,Port Said,بورسعيد,30.993,32.254
al-ganoub-eg0306,Al-Ganoub,قسم الجنوب,Port Said,بورسعيد,31.141,32.291
taba-eg3508,Taba,قسم طابا,South Sinai,جنوب سيناء,29.501,34.84
khsos-eg1412,Khsos,قسم الخصوص,Kalyoubia,القليوبية,30.157,31.318
kesm-mallawi-eg2411,Kesm Mallawi,قسم ملوى,Menia,المنيا,27.729,30.837
suez-eg0401,Suez,قسم السويس,Suez,السويس,29.961,32.569
al-arbiin-eg0402,Al-Arbiin,قسم الأربعين,Suez,السويس,29.98,32.536
el-arish-2-eg3402,El Arish 2,قسم ثان العريش,North Sinai,شمال سيناء,31.09,33.751
mubark-sharq-tafrea-eg0309,Mubark-Sharq Tafrea,قسم مبارك - شرق التفريعة,Port Said,بورسعيد,31.067,32.43
akhmim-city-eg2618,Akhmim City,مدينة أخميم الجديدة,Suhag,سوهاج,26.524,31.865
aswan-city-eg2808,Aswan City,مدينة أسوان الجديدة,Aswan,أسوان,24.068,32.983
assuit-city-eg2514,Assuit City,مدينة اسيوط الجديدة,Assiut,أسيوط,27.254,31.281
shaykh-zayed-eg2119,Shaykh Zayed,قسم الشيخ زايد,Giza,الجيزة,30.049,30.978
al-salhiyya-eg1307,Al-Salhiyya,قسم الصالحية الجديدة,Sharkia,الشرقية,30.634,32.006
abour-eg1413,Abour,قسم العبور,Kalyoubia,القليوبية,30.225,31.447
fayyum-city-eg2308,Fayyum City,مدينة الفيوم الجديدة,Fayoum,الفيوم,29.208,30.882
qurin-eg1320,Qurin,قسم القرين,Sharkia,الشرقية,30.611,31.742
al-qanayat-eg1318,Al-Qanayat,قسم القنايات,Sharkia,الشرقية,30.635,31.471
new-minya-eg2403,New Minya,مدينة المنيا الجديدة,Menia,المنيا,28.11,30.788
bani-swayf-city-eg2203,Bani Swayf City,قسم مدينة بنى سويف الجديدة,Beni Suef,بنى سويف,28.982,31.159
tushaka-eg2809,Tushaka,مدينة توشكى الجديدة,Aswan,أسوان,22.856,31.661
gamsa-eg1220,Gamsa,قسم جمصة,Dakahlia,الدقهلية,31.438,31.549
disuq-eg1505,Disuq,قسم دسوق,Kafr El-Shikh,كفر الشيخ,31.145,30.649
dumyat-al-gadida-eg1105,Dumyat Al-Gadida,قسم مدينه دمياط الجديده,Damietta,دمياط,31.439,31.706
sirs-al-layyana-city-eg1710,Sirs Al-Layyana City,قسم مدينة سرس الليانة,Menoufia,المنوفية,30.445,30.969
suhag-city-eg2619,Suhag City,مدينة سوهاج الجديدة,Suhag,سوهاج,26.485,31.649
faqus-eg1311,Faqus,قسم فاقوس,Sharkia,الشرقية,30.723,31.798
qalyub-eg1409,Qalyub,قسم قليوب,Kalyoubia,القليوبية,30.18,31.216
qina-city-eg2713,Qina City,مدينة قنا الجديدة,Qena,قنا,26.173,32.761
minuf-city-eg1712,Minuf City,قسم مدينة منوف,Menoufia,المنوفية,30.462,30.931
mit-ghamr-eg1212,Mit Ghamr,قسم ميت غمر,Dakahlia,الدقهلية,30.713,31.276
burg-al-arab-city-eg0216,Burg Al-Arab City,مدينه برج العرب الجديده,Alexandria,الاسكندرية,30.899,29.622
ras-al-bar-eg1106,Ras al-Bar,قسم رأس البر,Damietta,دمياط,31.51,31.83
maadi-eg0104,Maadi,قسم المعادي,Cairo,القاهرة,29.963,31.368
police-department-port-of-damietta-eg1108,Police Department Port of Damietta,إداره شرطه ميناء دمياط الجديد,Damietta,دمياط,31.466,31.778
faysal-eg0404,Faysal,قسم فيصل,Suez,السويس,30.118,32.181
