,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
114,Tukh,Kalyoubia,2,4,4,0,0,17
115,Abu Hummus,Behera,1,10,3,0,1,12
116,Kum Umbu,Aswan,2,10,3,2,1,3
117,Aswan,Aswan,7,6,2,0,0,5
118,El-Ibrahimiya,Sharkia,2,8,1,1,0,8
119,Auseem,Giza,2,8,4,0,0,5
120,Kafr Shukr,Kalyoubia,2,5,1,0,0,10
121,Mashtul Al-Suq,Sharkia,3,8,4,0,0,3
122,Kesm Awal Assuit,Assiut,0,8,0,1,0,8
123,Zarqa,Damietta,1,7,3,0,0,6
124,Kafr Al-Zayyat,Gharbia,2,5,3,0,0,5
125,Al-Bagur,Menoufia,2,2,2,0,0,9
126,Qutur,Gharbia,0,9,1,0,0,4
127,15 Mayu,Cairo,5,2,2,0,0,4
128,Kardasa,Giza,3,3,2,2,0,2
129,Qaha,Kalyoubia,0,4,1,0,2,5
130,Abu Tisht,Qena,2,3,0,0,0,5
131,New Cairo-3,Cairo,0,1,4,0,0,5
132,Qurin,Sharkia,0,5,3,0,0,2
133,Abshaway,Fayoum,1,4,0,0,0,4
134,Shibin al-Qanatir,Kalyoubia,1,3,0,0,0,4
135,Zemam Out,Sharkia,4,0,2,0,0,2
136,Abu Kabir,Sharkia,2,0,1,0,0,4
137,El Arish 1,North Sinai,1,2,0,0,0,4
138,Qift,Qena,1,2,2,0,0,1
139,Tanta,Gharbia,0,3,0,0,0,3
140,Al-Balyana,Suhag,0,3,1,0,0,1
141,Dumyat Al-Gadida,Damietta,0,2,2,0,0,1
142,Qanatir Al-Khayriyya,Kalyoubia,0,3,1,0,0,0
143,Minya al-Qamh,Sharkia,1,1,0,0,0,2
144,Naqada,Qena,1,2,0,0,0,1
145,Farshut,Qena,1,0,2,0,1,0
146,Badrashain,Giza,2,2,0,0,0,0
147,Bany Abeed,Dakahlia,2,2,0,0,0,0
148,Ayat,Giza,2,0,0,0,0,2
149,Ashmun,Menoufia,1,0,0,0,0,3
150,Abu Hammad,Sharkia,0,3,0,0,0,1
151,Maadi,Cairo,3,0,1,0,0,0
152,New Minya,Menia,0,2,0,0,0,1
153,Ahnasya,Beni Suef,1,1,0,0,0,1
154,Qina City,Qena,1,2,0,0,0,0
155,Bilqas,Dakahlia,1,2,0,0,0,0
156,Armant,Qena,0,2,1,0,0,0
157,New Cairo-1,Cairo,1,0,1,0,0,1
158,Nebro,Dakahlia,1,0,0,0,0,2
159,Samannud,Gharbia,1,2,0,0,0,0
160,Zaqaziq,Sharkia,1,1,1,0,0,0
161,El Mahalla El Kobra,Gharbia,0,0,1,0,0,2
162,Dar al-Salam,Suhag,0,1,0,0,0,2
163,North Coast,Alexandria,0,0,1,1,0,1
164,Guhayna Al-Gharbiyya,Suhag,1,0,1,0,0,0
165,Idku,Behera,1,1,0,0,0,0
166,Assuit,Assiut,0,2,0,0,0,0
167,10 Ramadan 2,Sharkia,0,1,0,0,0,1
168,Aga,Dakahlia,0,0,2,0,0,0
169,Shroq,Cairo,1,1,0,0,0,0
170,Police Department Port of Damietta,Damietta,0,1,0,0,0,1
171,"Qantara Gharb, al-",Ismailia,0,1,0,0,0,1
172,Quwisna,Menoufia,0,0,0,0,0,2
173,Al Amreia,Alexandria,0,0,0,0,0,2
174,Al-Qanayat,Sharkia,2,0,0,0,0,0
175,Fariskur,Damietta,0,0,0,0,0,2
176,Mahalet Demna,Dakahlia,0,1,0,0,0,1
177,Markz Bani Mazar,Menia,0,2,0,0,0,0
178,Al Usayrat,Suhag,2,0,0,0,0,0
179,Luxor,Luxor,0,0,0,0,0,2
180,Markz Mallawi,Menia,1,0,0,0,0,0
181,New Cairo-2,Cairo,0,0,0,0,0,1
182,Minuf,Menoufia,0,0,1,0,0,0
183,Al- Badari,Assiut,0,1,0,0,0,0
184,Taba,South Sinai,0,0,0,0,0,1
185,Tamy Al-Amdid,Dakahlia,0,1,0,0,0,0
186,Zemam Out,Kalyoubia,0,1,0,0,0,0
187,Tama,Suhag,1,0,0,0,0,0
188,Minya Al-Nasr,Dakahlia,0,1,0,0,0,0
189,Al Fashn,Beni Suef,0,1,0,0,0,0
190,North Coast,Matrouh,0,1,0,0,0,0
191,Nag Hammadi,Qena,0,1,0,0,0,0
192,Nasir,Beni Suef,0,0,1,0,0,0
193,Qillin,Kafr El-Shikh,1,0,0,0,0,0
194,Al-Minshat,Suhag,1,0,0,0,0,0
195,Shubra Khit,Behera,0,0,0,0,0,1
196,Sidi Salim,Kafr El-Shikh,0,0,1,0,0,0
197,Talkha,Dakahlia,1,0,0,0,0,0
198,Manzala,Dakahlia,0,1,0,0,0,0
199,Fayid,Ismailia,0,0,0,0,1,0
200,10 Ramadan 1,Sharkia,0,0,0,0,0,1
201,Hush Isa,Behera,1,0,0,0,0,0
202,Hihya,Sharkia,1,0,0,0,0,0
203,Kafr Sad,Damietta,1,0,0,0,0,0
204,Birkat Al-Sab,Menoufia,0,1,0,0,0,0
205,Assuit City,Assiut,1,0,0,0,0,0
206,Atfeh,Giza,0,1,0,0,0,0
207,El Arish 3,North Sinai,0,0,0,0,0,0
208,Dishna,Qena,0,0,0,0,0,0
209,El Mansora,Dakahlia,0,0,0,0,0,0
210,Dikirnis,Dakahlia,0,0,0,0,0,0
211,Bahariya Oasis,Giza,0,0,0,0,0,0
212,Badr,Behera,0,0,0,0,0,0
213,Gamaliyya,Dakahlia,0,0,0,0,0,0
214,Fuwwa,Kafr El-Shikh,0,0,0,0,0,0
215,Fayyum City,Fayoum,0,0,0,0,0,0
216,Faysal,Suez,0,0,0,0,0,0
217,El Arish 4,North Sinai,0,0,0,0,0,0
218,Biyalu,Kafr El-Shikh,0,0,0,0,0,0
219,Zemam Out,Cairo,0,0,0,0,0,0
220,Zemam Out,Alexandria,0,0,0,0,0,0
221,Abnub,Assiut,0,0,0,0,0,0
